"No.","Time","Source","Destination","Protocol","Length","Value","Info"
"358","8.263090","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","124","00165916690f000000000000000000007800000000000000000000000000000000000000â\200\246","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"359","8.266443","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","001756170016ba","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"361","8.352135","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","33","001757170e00f401d007000003000000000000b2e7","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"362","8.355113","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0018521800e876","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"364","8.442999","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","28","00185318091446010c00001e000021eb","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"365","8.446360","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00195a190078ec","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"385","8.712177","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","31","00195b190cc80001000007500001000007a5da","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"386","8.715089","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","001a5c1a008b0b","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"388","8.802070","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","25","001a5d1a06030005030005db3c","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"389","8.805688","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","001b5e1b00da56","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"391","8.981970","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","22","001b5f1b03140105c934","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"392","8.987475","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","001c601c00e911","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"394","9.071976","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","36","001c611c113030303030310000000000000000000002d2cc","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"395","9.075673","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","001db21d002c29","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"397","9.207187","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","38","001db31d130000000000000000040000000000000000000095d3","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"398","9.209823","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","001e901e00d994","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"400","9.432139","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","30","001e911e0b6464000000000000000000fa96","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"401","9.435528","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","001f6c1f00db31","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"403","9.567086","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","36","001f6d1f110000000000000000000000000000000000075b","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"404","9.570426","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0020502000b494","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"406","9.746992","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","29","002051200a00000000000000000000964d","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"407","9.749378","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0021222100ed11","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"409","9.836936","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","27","00212321080000000000000400fcb5","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"410","9.839779","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0022a4220044cd","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"412","9.972092","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","43","0022a522180000000000000000000000000000000000000000000000001436","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"413","9.975349","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00233a23004d9d","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"415","10.107556","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","31","00233b230cd811000000000000d7110000b61c","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"416","10.110799","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0024b224002196","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"418","10.287148","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","38","0024b3241300000000000000000400000000000000000000634a","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"419","10.289887","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00256a25002569","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"421","10.377230","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","43","00256b251800006405a40100006405a40100006405a40100006405a401ba86","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"422","10.381112","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00266a2600763c","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"425","10.467268","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","10","00266b261800006405a40100006405a40100006405a40100006405a4013862","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"426","18.782163","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0027362700e824","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"428","18.928071","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","27","00273727085cbf8d1a830c0000a147","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"515","78.934471","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0028362800d634","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"517","80.306575","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","27","002837280899bf8d1ac00c0000bfa7","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"659","95.255175","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","29","000010000a00006dc6021e1c87fefb3ef4","Sent Write Command, Handle: 0x0022 (Tandem Diabetes Care: Unknown)"
"661","95.428047","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","49","000011001e0100fb33581b40a4ecbd7f55df4c0a287ce6ca6ffca41c0108f69b9c662c57â\200\246","Rcvd Handle Value Notification, Handle: 0x0022 (Tandem Diabetes Care: Unknown)"
"662","95.432729","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","32","0101120116010018755c365e2010868fb551771a","Sent Write Command, Handle: 0x0022 (Tandem Diabetes Care: Unknown)"
"663","95.434238","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","23","0001347a1134cf9ac1ecea","Sent Write Command, Handle: 0x0022 (Tandem Diabetes Care: Unknown)"
"665","95.516584","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","22","0001130103010001e8cc","Rcvd Handle Value Notification, Handle: 0x0022 (Tandem Diabetes Care: Unknown)"
"666","95.528651","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0002200200382c","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"668","95.607009","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","23","0002210204020005008237","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"669","95.611195","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0003540300c11b","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"671","95.697169","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","67","00035503309fc00b3f9fc00b3f00000000000000007e4f6705df6a0f0030000000000000â\200\246","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"672","95.700401","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00043604005d77","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"674","95.832725","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","27","0004370408a9bf8d1ad00c0000b724","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"675","95.835555","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","20","0005a005010077b6","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"677","95.921630","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","25","0005a1050600009add2476065f","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"678","95.924720","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","20","0006a0060104a3af","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"680","96.056756","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","25","0006a1060600041a000000fb30","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"681","96.068451","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00073607000e22","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"683","96.281707","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","27","0007370708a9bf8d1ad00c00007895","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"684","96.285401","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0008240800331f","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"686","96.372761","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","23","0008250804000000146e30","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"687","96.375489","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0009320900c1dd","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"689","96.462802","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","26","000933090700000000000000a9f8","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"690","96.466943","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","000a2a0a005062","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"692","96.551861","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","29","000a2b0a0a00000000000000000000e4de","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"693","96.555231","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","000b280b00013f","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"695","96.777532","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","28","000b290b09000000000000000001df1d","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"696","96.780455","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","000c380c00f5e5","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"698","96.911689","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","28","000c390c0900ffc8c8c804c80000a4a5","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"699","96.913489","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","000d2c0d006749","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"701","97.046935","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","34","000d2d0d0f000000c8c80000000000000000000055ef","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"702","97.050695","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","000e2e0e005472","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"704","97.136799","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","37","000e2f0e12000000c8c80000000000000000000000000031ae","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"705","97.139181","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","000f3e0f000602","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"707","97.226711","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","27","000f3f0f0800ffffffffffffff9bed","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"708","97.229913","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0010441000820e","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"710","97.406936","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","27","00104510080000000000000000bda4","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"711","97.409653","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00114a1100b226","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"713","97.586751","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","27","00114b110800000000000000008298","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"714","97.591242","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00124612008006","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"716","97.677445","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","27","0012471208000000000000000084da","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"717","97.680422","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","0013481300b02e","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"719","97.766673","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","27","00134913080000000000000000bbe6","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"720","97.771161","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00148a1400b0ff","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"722","97.902600","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","27","00148b1408b80b0000b80b0000c6fd","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"723","97.905085","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00158c1500217e","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"725","98.306658","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","23","00158d150410271027b92f","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"726","98.309514","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","00165816002692","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"728","98.487756","fb:89:10:37:fe:76 ()","Google_bf:f4:6b (SM-G780F)","ATT","124","00165916690f000000000000000000007800000000000000000000000000000000000000â\200\246","Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
"729","98.490380","Google_bf:f4:6b (SM-G780F)","fb:89:10:37:fe:76 ()","ATT","19","001756170016ba","Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)"
