No,Time,Source,Destination,Protocl,Length,Info,Value
1880,610.525628,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,21,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00683d6802002ac10b
1878,610.468916,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,24,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00683c6805141200000dddaf
1876,610.465509,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,43,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0067a56718000000000000000000000000000000000000000000000000fa86
1874,610.407881,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0067a467007d3f
1873,610.405226,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,37,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00662f66120000000164000000000000000000000000009e53
1871,610.348084,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00662e6600d7f0
1870,610.346006,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,34,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00652d650f02030001647b638e1ae80300000808d465
1868,610.288509,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00652c6500e4cb
1867,610.286247,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,38,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0064b3641301dc0001640000000402000000000000000000bc3a
1865,610.231646,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0064b26400ed9b
1864,610.225794,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,31,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00633b630c151200000000000014120000335c
1862,610.1718,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00633a63008190
1861,610.165504,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,28,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",006239620900ffc8c80000000100725f
1859,610.11075,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0062386200d0cd
1858,610.105281,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,27,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00612361080000000000000400e6c7
1856,610.049969,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0061226100211c
1855,610.045348,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,28,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0060296009e8030000e803000000c53d
1853,609.961812,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0060286000d1e8
1852,609.955291,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,31,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",005f3b5f0c151200000000000014120000c511
1850,609.900347,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",005f3a5f0079d0
1849,609.895364,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,31,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",005e3b5e0c151200000000000014120000a46a
1847,609.839303,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",005e3a5e0048e3
1055,198.973488,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",005e365e002996
1846,609.835476,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,43,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",005da55d180000000000000000000000000000000000000000000000005a54
1844,609.782995,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",005da45d0023d5
1054,185.189967,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,43,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",005d6b5d1800006405a40100006405a40100006405a40100006405a401b091
1052,185.102611,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",005d6a5d00d5e8
1051,185.096833,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,43,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",005c6b5c1800006405a40100006405a40100006405a40100006405a401d13d
1049,185.043637,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",005c6a5c00e4db
1843,609.7768,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,37,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",005c2f5c120000001ac300000000000000000000000000e908
1841,609.72251,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",005c2e5c00891a
1048,185.037939,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,43,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",005b6b5b1800006405a40100006405a40100006405a40100006405a4019548
1045,184.865382,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",005b6a5b007342
1840,609.715419,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,34,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",005b2d5b0f0203001ac37b638e1ae803000008088181
1837,608.158079,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",005b2c5b007eed
1834,607.88623,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,8,"Rcvd Handle Value Notification, Handle: 0x0025 (Tandem Diabetes Care: Unknown)",005a9f5a1e0003000000007b638e1a402315281428c820de2eeb2193d371bde800ac68a5…
1044,184.860049,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,21,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",005a3d5a020025af3b
1042,184.772639,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,24,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",005a3c5a05f211000003281a
1831,605.9756,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,26,"Sent Write Command, Handle: 0x0025 (Tandem Diabetes Care: Unknown)",005a33a17d228e6abbb2be087c1c
1041,184.767266,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,38,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0059b3591301dc00016400000004000000000000000000007b1a
1039,184.680843,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0059b2590024e8
1825,595.228075,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,27,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00593759086e638e1ac30e0000b7b5
1823,592.94451,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0059365900be0f
1820,589.765578,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,43,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00586b581800006405a40100006405a40100006405a40100006405a40117ac
1818,589.707049,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00586a58002017
1038,184.676625,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,31,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00583b580cf311000000000000f211000065f1
1036,184.632354,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00583a5800ee49
1034,184.621396,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,43,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00576b571800006405a40100006405a40100006405a40100006405a401feea
1032,184.476744,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00576a57001e07
1817,589.705118,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,34,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",005743570f00000000e803701700006e001e000f3d89
1815,589.651321,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,21,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00574257020000910e
1031,184.467526,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,38,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0056b3561301dc00016400000004000000000000000000008ddc
1029,184.419704,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0056b256001af8
1814,589.645822,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,65,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",005673562e00000000000000b4006e001e000170170000102700000000000000000000ff…
1812,589.589576,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0056725600edde
1028,184.41001,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,36,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00556d5511000000000000000000000000000000000173b6
1026,184.352438,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00556c5500dcd3
1811,589.585531,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,43,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00556b551800006405a40100006405a40100006405a40100006405a4011da2
1809,589.530497,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00556a55007c61
1025,184.346425,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,36,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00546d541100000000000000000000000000000000016c68
1023,184.294848,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00546c5400ede0
1808,589.525491,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,43,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00546b541800006405a40100006405a40100006405a40100006405a4017c0e
1806,589.47064,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",00546a54004d52
1805,589.465483,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,38,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0053b3531301dc00016400000004020000000000000000004ab0
1022,184.287286,fb:89:10:37:fe:76 (),Google_bf:f4:6b (SM-G780F),ATT,38,"Rcvd Handle Value Notification, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0053b3531301dc0001640000000400000000000000000000c06e
1803,589.411189,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0053b25300ef07
1020,184.233618,Google_bf:f4:6b (SM-G780F),fb:89:10:37:fe:76 (),ATT,19,"Sent Write Command, Handle: 0x0019 (Tandem Diabetes Care: Unknown)",0053b25300ef07
